,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
73,CC1=CC(C)=C(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)C=C1,Cc1ccc(NC(=O)N(Cc2ccccc2)Cc2ccccc2)c(C)c1,"InChI=1S/C23H24N2O/c1-18-13-14-22(19(2)15-18)24-23(26)25(16-20-9-5-3-6-10-20)17-21-11-7-4-8-12-21/h3-15H,16-17H2,1-2H3,(H,24,26)",XZZPSMCICXEUHZ-UHFFFAOYSA-N,DTXSID10589553,DSSTox_Substance_Id,DTXSID10589553,"N,N-Dibenzyl-N'-(2,4-dimethylphenyl)urea"
74,CCCCN(CC1=CC=CC=C1)C(=O)NC1=CC(OC)=C(OC)C(OC)=C1,CCCCN(Cc1ccccc1)C(=O)Nc1cc(OC)c(OC)c(OC)c1,"InChI=1S/C21H28N2O4/c1-5-6-12-23(15-16-10-8-7-9-11-16)21(24)22-17-13-18(25-2)20(27-4)19(14-17)26-3/h7-11,13-14H,5-6,12,15H2,1-4H3,(H,22,24)",LMQIWNGUHNGACA-UHFFFAOYSA-N,DTXSID20547881,DSSTox_Substance_Id,DTXSID20547881,"N-Benzyl-N-butyl-N'-(3,4,5-trimethoxyphenyl)urea"
75,ClC1=C(Cl)C=C(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)C=C1,O=C(Nc1ccc(Cl)c(Cl)c1)N(Cc1ccccc1)Cc1ccccc1,"InChI=1S/C21H18Cl2N2O/c22-19-12-11-18(13-20(19)23)24-21(26)25(14-16-7-3-1-4-8-16)15-17-9-5-2-6-10-17/h1-13H,14-15H2,(H,24,26)",FBNMSCNGGVUDNJ-UHFFFAOYSA-N,DTXSID60359728,DSSTox_Substance_Id,DTXSID60359728,"Urea, N'-(3,4-dichlorophenyl)-N,N-bis(phenylmethyl)-"
76,CCCCN(CCCC)C(=O)NC1=C(C)C=C(C)C=C1C,CCCCN(CCCC)C(=O)Nc1c(C)cc(C)cc1C,"InChI=1S/C18H30N2O/c1-6-8-10-20(11-9-7-2)18(21)19-17-15(4)12-14(3)13-16(17)5/h12-13H,6-11H2,1-5H3,(H,19,21)",HOSMQDIXYCWRRT-UHFFFAOYSA-N,DTXSID30608134,DSSTox_Substance_Id,DTXSID30608134,"N,N-Dibutyl-N'-(2,4,6-trimethylphenyl)urea"
77,CCSC1=NC(=C(N1)C1=CC=CC=C1)C1=CC=CC=C1,CCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1,"InChI=1S/C17H16N2S/c1-2-20-17-18-15(13-9-5-3-6-10-13)16(19-17)14-11-7-4-8-12-14/h3-12H,2H2,1H3,(H,18,19)",LLMAFVWLNYBLIF-UHFFFAOYSA-N,DTXSID60407632,DSSTox_Substance_Id,DTXSID60407632,"2-ethylsulfanyl-4,5-diphenyl-1H-imidazole"
78,BrC1=CC=CC=C1NC(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1,O=C(Nc1ccccc1Br)N(Cc1ccccc1)Cc1ccccc1,"InChI=1S/C21H19BrN2O/c22-19-13-7-8-14-20(19)23-21(25)24(15-17-9-3-1-4-10-17)16-18-11-5-2-6-12-18/h1-14H,15-16H2,(H,23,25)",FHZYFORTTOYVEK-UHFFFAOYSA-N,DTXSID10608157,DSSTox_Substance_Id,DTXSID10608157,"N,N-Dibenzyl-N'-(2-bromophenyl)urea"
79,CC1=CC(C)=C(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)C=C1C,Cc1cc(C)c(NC(=O)N(Cc2ccccc2)Cc2ccccc2)cc1C,"InChI=1S/C24H26N2O/c1-18-14-20(3)23(15-19(18)2)25-24(27)26(16-21-10-6-4-7-11-21)17-22-12-8-5-9-13-22/h4-15H,16-17H2,1-3H3,(H,25,27)",CRIIESGQQIOAON-UHFFFAOYSA-N,DTXSID60608162,DSSTox_Substance_Id,DTXSID60608162,"N,N-Dibenzyl-N'-(2,4,5-trimethylphenyl)urea"
80,CCCCN(CCCC)C(=O)NC1=CC=C(OCC)C=C1,CCCCN(CCCC)C(=O)Nc1ccc(OCC)cc1,"InChI=1S/C17H28N2O2/c1-4-7-13-19(14-8-5-2)17(20)18-15-9-11-16(12-10-15)21-6-3/h9-12H,4-8,13-14H2,1-3H3,(H,18,20)",DETHTVQJLGNBPE-UHFFFAOYSA-N,DTXSID00608141,DSSTox_Substance_Id,DTXSID00608141,"N,N-Dibutyl-N'-(4-ethoxyphenyl)urea"
81,CC1=CC(C)=C(NC(=O)N(CCCCC2CCCCC2)CCCCC2CCCCC2)C=C1,Cc1ccc(NC(=O)N(CCCCC2CCCCC2)CCCCC2CCCCC2)c(C)c1,"InChI=1S/C29H48N2O/c1-24-19-20-28(25(2)23-24)30-29(32)31(21-11-9-17-26-13-5-3-6-14-26)22-12-10-18-27-15-7-4-8-16-27/h19-20,23,26-27H,3-18,21-22H2,1-2H3,(H,30,32)",WELIBGRYYKRTSE-UHFFFAOYSA-N,DTXSID80608144,DSSTox_Substance_Id,DTXSID80608144,"N,N-Bis(4-cyclohexylbutyl)-N'-(2,4-dimethylphenyl)urea"
82,CCC1=CC=CC(C)=C1NC(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1,CCc1cccc(C)c1NC(=O)N(Cc1ccccc1)Cc1ccccc1,"InChI=1S/C24H26N2O/c1-3-22-16-10-11-19(2)23(22)25-24(27)26(17-20-12-6-4-7-13-20)18-21-14-8-5-9-15-21/h4-16H,3,17-18H2,1-2H3,(H,25,27)",UTEJXRQVGZWKEU-UHFFFAOYSA-N,DTXSID90397092,DSSTox_Substance_Id,DTXSID90397092,"Urea, N'-(2-ethyl-6-methylphenyl)-N,N-bis(phenylmethyl)-"
