ensmbl_gene_name,Du_PHH_1,Du_PHH_2,Fu_PHH_1,Fu_PHH_2,Kim_PHH_1,Kim_PHH_2,Koui_PHH_1,Koui_PHH_2,Xiang_PHH_1,Xiang_PHH_2,Xie_PHH_1,Xie_PHH_2,Xie_PHH_3,Schneeberger_PHH_1,Schneeberger_PHH_2,Gao_PHH,Boon_PHH_1,Boon_PHH_2,Wang_PHH_1,Wang_PHH_2
ENSG00000213606.3,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,1,36,3,0,1
ENSG00000225922.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000108176.15,415,448,326,417,341,378,142,100,223,165,568,428,426,91,36,743,315,468,91,123
ENSG00000212520.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239942.2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
ENSG00000237141.1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272892.1,1,2,1,6,0,2,6,6,0,1,1,0,4,0,1,1,0,1,0,0
ENSG00000252113.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000219932.6,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000096717.12,177,601,382,403,62,40,100,106,207,179,343,179,465,91,49,215,106,120,188,199
ENSG00000148634.15,331,371,553,542,160,244,915,558,231,154,323,308,371,69,43,330,344,295,273,193
ENSG00000226318.1,1,2,18,3,1,2,20,9,1,0,1,0,1,0,1,6,1,2,6,5
ENSG00000266467.2,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0,0,2,1
ENSG00000236375.3,0,0,0,0,0,0,14,7,0,1,0,0,0,0,0,0,0,0,2,0
ENSG00000138347.15,0,0,0,1,1,1,13,1,0,0,0,2,0,0,0,0,1,0,0,0
ENSG00000222371.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179774.9,32,27,16,11,4,1,0,7,1,2,8,2,9,0,1,4,5,5,1,0
ENSG00000233590.1,37,48,35,23,12,3,5,10,3,4,12,5,5,4,0,10,14,15,4,1
ENSG00000234102.1,0,2,9,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
ENSG00000108187.16,6136,6729,4995,4219,1725,2155,1375,1547,554,1220,4858,2037,4006,796,552,1859,3390,3394,920,1521
ENSG00000096746.17,928,921,910,1062,720,935,188,151,497,216,545,371,739,152,113,416,702,647,262,197
ENSG00000204130.13,70,76,110,109,33,29,200,153,45,26,56,42,83,16,8,41,53,37,55,51
ENSG00000138346.15,32,40,115,39,32,21,72,68,12,11,36,32,19,14,3,83,50,69,15,16
ENSG00000234806.1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000199638.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
